# snap, a, z
22,0.11975000053644,7.35073089599609
21,0.11636999994516,7.59327983856201
20,0.11299999803305,7.84955787658691
19,0.10961999744177,8.12242317199707
18,0.10625000298023,8.41176414489746
17,0.10286999493837,8.72100734710693
16,0.09950000047684,9.05025100708008
15,0.09611999988556,9.40366172790527
14,0.09274999797344,9.78167152404785
13,0.08936999738216,10.18943786621094
12,0.08600000292063,10.62790679931641
11,0.08262000232935,11.10360622406006
10,0.08037000149488,11.44245338439941
9,0.07812000066042,11.80081939697266
8,0.07586999982595,12.18043994903564
7,0.07361999899149,12.58326530456543
6,0.07136999815702,13.01148986816406
5,0.06911999732256,13.46759319305420
4,0.06686999648809,13.95438957214355
3,0.06462000310421,14.47508430480957
2,0.06236999854445,15.03334999084473
1,0.06012000143528,15.63339996337891
