# # snap, a, z
29,0.0684899985790253,13.6006717681884766
28,0.0669799968600273,13.9298305511474609
27,0.0656199976801872,14.2392568588256836
26,0.0640999972820282,14.6006250381469727
25,0.0627000033855438,14.9489622116088867
24,0.0613100007176399,15.3105525970458984
23,0.0599200055003166,15.6889171600341797
22,0.0584100000560284,16.1203556060791016
21,0.0569799989461899,16.5500183105468750
20,0.0556199960410595,16.9791450500488281
19,0.0544099994003773,17.3789749145507812
18,0.0532499998807907,17.7793426513671875
17,0.0521400012075901,18.1791324615478516
16,0.0510700009763241,18.5809669494628906
15,0.0500500015914440,18.9800186157226562
14,0.0490700006484985,19.3790493011474609
13,0.0481199994683266,19.7813796997070312
12,0.0472100004553795,20.1819534301757812
11,0.0463400036096573,20.5796279907226562
10,0.0454999990761280,20.9780216217041016
9,0.0446799993515015,21.3813781738281250
8,0.0439000017940998,21.7790431976318359
7,0.0431400015950203,22.1803417205810547
6,0.0424100011587143,22.5793437957763672
5,0.0417000018060207,22.9808139801025391
4,0.0410199984908104,23.3783531188964844
3,0.0403599999845028,23.7770061492919922
2,0.0397100001573563,24.1825733184814453
1,0.0390900000929832,24.5819892883300781
0,0.0384900011122227,24.9807739257812500
